odor,mean,std
2,0.3150727050727051,0.1541568806197627
3,0.3286794088264676,0.16039772776210168
4,0.2659761766011766,0.11329565465124089
5,0.36792540792540795,0.1715605580132406
6,0.23980540293040295,0.12276273052077372
