average_f1_score,odor,exp
0.7415745365745365,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6232867132867133,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.677070707070707,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6408782883782884,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5958225108225108,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6386002886002886,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6493434343434343,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.679998334998335,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6227994227994228,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5488888888888889,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3664141414141414,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3037101787101787,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3498068598068598,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3108080808080808,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4901587301587302,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.43354423354423355,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3058080808080808,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.2387995337995338,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.8281313131313132,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.702922077922078,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7024458874458874,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7288278388278389,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6985225885225884,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6518481518481518,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6466666666666666,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7594988344988345,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.437024087024087,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5101148851148851,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.41693473193473196,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.2382828282828283,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.42653679653679655,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6181818181818182,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4998407148407148,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4514807414807415,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.612115662115662,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4577489177489177,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5544949494949495,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5723665223665224,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5997835497835498,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5327272727272727,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5271572871572872,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4869552669552669,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5829381729381728,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.49909090909090914,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4133305583305583,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5386324786324787,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4831857031857032,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3947835497835498,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.42889610389610394,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5132556332556333,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.3420779220779221,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.4148495948495949,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
