average_f1_score,odor,exp
0.7415745365745365,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6296969696969696,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6638111888111887,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6616666666666666,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5490295815295816,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6271794871794872,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6087373737373738,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6284648684648684,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6083333333333333,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6684829059829059,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.594949494949495,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6582828282828282,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6298124098124098,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5678876678876679,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6714901764901764,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7001010101010101,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.644054834054834,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.5818414918414918,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.6982811632811632,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.8281313131313132,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7098701298701299,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.7107808857808858,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
0.8117210567210567,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET
