accuracy,exp,odor1,odor2,comp,animal,condition
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.4,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
1.0,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.8,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.8,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.9,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.8,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.8,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.3,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.6,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.8,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.7,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,bf
0.9,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.8,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.9,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.8,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.8,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.7,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94R1,bf
0.2,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.1,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.2,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.2,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
0.6,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94R1,bf
1.0,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
1.0,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94Nt,af
0.4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Heptanol,"Hexanol
Heptanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.9,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.8,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Hexanol,Octanol,"Hexanol
Octanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.7,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.6,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,Heptanol,Octanol,"Heptanol
Octanol",A94Nt,af
0.6,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.6,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.6,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.4,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.8,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Hexanol,"Pentanol
Hexanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.8,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.8,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.6,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.9,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.8,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.7,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.6,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Heptanol,"Pentanol
Heptanol",A94R1,af
0.9,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,af
0.8,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,Pentanol,Octanol,"Pentanol
Octanol",A94R1,af
