0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.00021139519763859567,0.0008362446660606078,0.000919615346379939,0.0014433811467895426,0.0015418692673331341,0.002017533633255269,0.0021645607052078,0.0023078658427126923,0.0026845949424719384,0.0027079405995038596,0.002754620685371468,0.003068578447089427,0.003384181371010073,0.006222690063449843,0.008116741091274074,0.0090738427667688,0.009434338711299072,0.009619414979647007,0.00968281527890724,0.009890664673063673,0.010631181620962535,0.015029453950841511,0.016002821586774404,0.017877625567102182,0.032360966397281025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00017830636117027062,0.0004769534118443002,0.0021190108874555883,0.0028519365266297275,0.0036470755598391894,0.0038732342474965056,0.004309030924708468,0.004438602181545163,0.005320146636568776,0.00533184000350939,0.005551908177183522,0.006616131633730862,0.0069713811729837085,0.0081489261121866,0.008234677050098612,0.009288124330280645,0.011876376985692794,0.013797918109632793,0.014331349738234403,0.014649564306734789,0.015127694294166098,0.016264891341840625,0.016328251938109516,0.019718346069609902,0.02187222657721981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0002142815635111725,0.00026206975506495395,0.0012987979872657997,0.0015405802214118053,0.002529634238332642,0.004216760487613084,0.004227206983905864,0.00433875649588111,0.005030149327088554,0.005561104463801895,0.005779886967670289,0.0059268112073855355,0.005984365406976687,0.006035739719069257,0.00623611789764133,0.006251455349890049,0.006862015903900594,0.008341700950903376,0.011241044956257657,0.013568594642395546,0.015241299256423316,0.01664976762251916,0.017812289236639543,0.0204845894115891,0.02244809082950767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17,18,21,11,5,10,1,8,7,9,14,0,12,23,16,15,4,3,20,19,2,13,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,12,0,3,15,22,24,11,18,20,17,9,10,1,16,6,21,23,4,8,13,2,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,2,5,7,9,24,20,4,15,17,1,10,3,0,18,11,12,19,22,21,14,8,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,9,2,3,_,A,8,9,N,t,_,t,r,a,c,e,s,f,e,a,t,u,r,e,_,o,d,o,r,a,f,c,o,n,d,i,t,i,o,n,_,2,5,c,e,l,l,s,_,3,s,e,c,a,f,o,d,o,r,o,n,s,e,t
9.435858569426106e-05,0.001858501073404788,0.005243356508531166,0.005491867928941664,0.006127275422289833,0.007412803999409216,0.009971959122982021,0.011988199454448633,0.012606742701361131,0.014086251181735192,0.014698287831113184,0.027854585105767625,0.03681823275556349,0.03785235881279333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00363067155290971,0.0053305307328886335,0.006585905495242678,0.0073465792035148775,0.010805161718382333,0.01188014353422366,0.012253620912646748,0.01300009283156942,0.01587201597220115,0.016544546538358774,0.021674669885689776,0.023187513480937196,0.025830943141007357,0.026187392121760508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00026542145820058983,0.001854711274572689,0.0028181442968893172,0.007756736323039706,0.008755720448846809,0.010630840633802983,0.015547394463401662,0.01577470948152748,0.0164501879526648,0.016557864618226007,0.023972442067599742,0.027047197094410662,0.028478758673563906,0.031485256658677074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
